Title,Address,Found Address,Match Quality,Source,lon,lat,marker-color,marker-size,marker-symbol,address
Aavin Milk Processing Plant,"Plot No.29 & 30,Industrial Estate, Dairy Road, Ambattur, Sidco Industrial Estate, Korattur, Chennai, Tamil Nadu 600098","Plot No.29 & 30,Industrial Estate, Dairy Road, Ambattur, Chennai, Tamil Nadu 600098, India",Match,Google,80.1767529,13.1126747,,,,
Cheyyar Co-op Milk Chilling Factory (AAVIN) Anakkavoor,"Cheyyar Co-op Milk Chilling Factory (AAVIN) Anakkavoor, SH 5, Anakavoor, Tamil Nadu 604407","SH 5, Anakavoor, Tamil Nadu 604407, India",Match,Google,79.5380391,12.6449385,,,,
Aavin Milk Dairy,"Kotapattu, Ramanathapuram Rd, Kajamalai, Edamalaipatti Pudur, Tiruchirappalli, Tamil Nadu 620020","Kotapattu, Ramanathapuram Rd, Kajamalai, Edamalaipatti Pudur, Tiruchirappalli, Tamil Nadu 620020, India",Match,Google,78.7018919,10.7754299,,,,
Aavin Dairy Plant,"Siruvani Main Rd, Kurinji Nagar, Coimbatore, Tamil Nadu 641010","Siruvani Main Rd, Coimbatore, Tamil Nadu 641010, India",Match,Google,76.8714391,10.9734193,,,,
Nandhini Hi Tech Products Plant,"Nandhini Hi Tech Products Plant,Bengaluru - Mangaluru Highway, Karnataka 573116","Bengaluru - Mangaluru Highway, Karnataka 573116, India",Match,Google,76.422322,12.904658,,,,
Milma Thrissur Dairy,"Milma Thrissur Dairy, Mannumkad, Ramavarmapuram, Thrissur, Kerala 680631","Mannumkad, Ramavarmapuram, Thrissur, Kerala 680631, India",Match,Google,76.2388596,10.5577461,,,,
Aavin Milk Depot,"11th Cross, Kattur, Amman Nagar, Kattur, Tiruchirappalli, Tamil Nadu 620019","11th Cross Rd, Vin Nagar, Kattur, Tiruchirappalli, Tamil Nadu 620019, India",Partial Match,Google,78.753862,10.8019553,,,,
Aavin Milk Store,"Madhusudhan Layout, Civil Aerodrome Post, Peelamedu, Coimbatore, Tamil Nadu 641014","Madhusudhan Layout, Civil Aerodrome Post, Peelamedu, Coimbatore, Tamil Nadu 641014, India",Match,Google,77.0395642,11.0366439,,,,
Aavin Milk Center,"Chennai Theni Hwy, National Airports Authority, National Airports Authority Colony, Pazavanthangal, Chennai, Tamil Nadu 600114","Chennai, Tamil Nadu, India",Partial Match,Google,80.2707184,13.0826802,,,,
Aavin parlour,"Bus Stand Road, Arani Palayam, Arani, Tamil Nadu 632301","Bus Stand Road, Arani Palayam, Arani, Tamil Nadu 632301, India",Match,Google,79.2851218,12.6724822,,,,
Nandini Milk Depot,"6th Cross Rd, MCHS Colony, Stage 2, BTM Layout, Bengaluru, Karnataka 560076","6th Cross Rd, MCHS Colony, Stage 2, BTM 2nd Stage, Bengaluru, Karnataka 560076, India",Match,Google,77.6120855,12.910253,,,,
Milma Dairy Products Supplier,"Milma, MG Road, Poothole, Thrissur, Kerala 680667","MG Road, Poothole, Thrissur, Kerala 680667, India",Match,Google,76.2073973,10.5232723,,,,
Aavin Milk Processing Plant,"Plot No.29 & 30,Industrial Estate, Dairy Road, Ambattur, Sidco Industrial Estate, Korattur, Chennai, Tamil Nadu 600098","Plot No.29 & 30,Industrial Estate, Dairy Road, Ambattur, Chennai, Tamil Nadu 600098, India",Match,Google,80.1767529,13.1126747,#0000ff,medium,industrial,
Cheyyar Co-op Milk Chilling Factory (AAVIN) Anakkavoor,"Cheyyar Co-op Milk Chilling Factory (AAVIN) Anakkavoor, SH 5, Anakavoor, Tamil Nadu 604407","SH 5, Anakavoor, Tamil Nadu 604407, India",Match,Google,79.5380391,12.6449385,#0000ff,medium,industrial,
Aavin Milk Dairy,"Kotapattu, Ramanathapuram Rd, Kajamalai, Edamalaipatti Pudur, Tiruchirappalli, Tamil Nadu 620020","Kotapattu, Ramanathapuram Rd, Kajamalai, Edamalaipatti Pudur, Tiruchirappalli, Tamil Nadu 620020, India",Match,Google,78.7018919,10.7754299,#0000ff,medium,industrial,
Aavin Dairy Plant,"Siruvani Main Rd, Kurinji Nagar, Coimbatore, Tamil Nadu 641010","Siruvani Main Rd, Coimbatore, Tamil Nadu 641010, India",Match,Google,76.8714391,10.9734193,#0000ff,medium,industrial,
Nandhini Hi Tech Products Plant,"Nandhini Hi Tech Products Plant,Bengaluru - Mangaluru Highway, Karnataka 573116","Bengaluru - Mangaluru Highway, Karnataka 573116, India",Match,Google,76.422322,12.904658,#0000ff,medium,industrial,
Milma Thrissur Dairy,"Milma Thrissur Dairy, Mannumkad, Ramavarmapuram, Thrissur, Kerala 680631","Mannumkad, Ramavarmapuram, Thrissur, Kerala 680631, India",Match,Google,76.2388596,10.5577461,#0000ff,medium,industrial,
Aavin Milk Depot,"11th Cross, Kattur, Amman Nagar, Kattur, Tiruchirappalli, Tamil Nadu 620019","11th Cross Rd, Vin Nagar, Kattur, Tiruchirappalli, Tamil Nadu 620019, India",Partial Match,Google,78.753862,10.8019553,#ff8000,medium,ice-cream,
Aavin Milk Store,"Madhusudhan Layout, Civil Aerodrome Post, Peelamedu, Coimbatore, Tamil Nadu 641014","Madhusudhan Layout, Civil Aerodrome Post, Peelamedu, Coimbatore, Tamil Nadu 641014, India",Match,Google,77.0395642,11.0366439,#ff8000,medium,ice-cream,
Aavin Milk Center,"Chennai Theni Hwy, National Airports Authority, National Airports Authority Colony, Pazavanthangal, Chennai, Tamil Nadu 600114","Chennai, Tamil Nadu, India",Partial Match,Google,80.2707184,13.0826802,#ff8000,medium,ice-cream,
Aavin parlour,"Bus Stand Road, Arani Palayam, Arani, Tamil Nadu 632301","Bus Stand Road, Arani Palayam, Arani, Tamil Nadu 632301, India",Match,Google,79.2851218,12.6724822,#ff8000,medium,ice-cream,
Nandini Milk Depot,"6th Cross Rd, MCHS Colony, Stage 2, BTM Layout, Bengaluru, Karnataka 560076","6th Cross Rd, MCHS Colony, Stage 2, BTM 2nd Stage, Bengaluru, Karnataka 560076, India",Match,Google,77.6120855,12.910253,#ff8000,medium,ice-cream,
Milma Dairy Products Supplier,"Milma, MG Road, Poothole, Thrissur, Kerala 680667","MG Road, Poothole, Thrissur, Kerala 680667, India",Match,Google,76.2073973,10.5232723,#ff8000,medium,ice-cream,
,,,,,78.70931625366211,10.761978837980948,#ffffff,medium,airport,
,,,,,80.16766548156738,12.985907706919503,#ffffff,medium,airport,
,,,,,77.6070785522461,13.138997124130764,#ffffff,medium,airport,
,,,,,77.03939437866211,11.030168049748383,#ffffff,medium,airport,